epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,11851.3,0.68131,0.42764,0.86819,0.91973,0.82602,0.90452,0.68895,0.69738,0.4178,0.86151,0.0021295,0.0021295,0.0021295
161,11924.9,0.67588,0.42286,0.86482,0.91079,0.82617,0.9038,0.68978,0.697,0.4174,0.86138,0.00208,0.00208,0.00208
162,11998.6,0.67667,0.42314,0.86563,0.91847,0.82955,0.90453,0.69019,0.69676,0.41683,0.86134,0.0020305,0.0020305,0.0020305
163,12072.4,0.67315,0.42168,0.86407,0.91941,0.82878,0.90442,0.6902,0.69649,0.4165,0.86127,0.001981,0.001981,0.001981
164,12146.6,0.67627,0.42427,0.86485,0.91132,0.8316,0.90498,0.69087,0.69602,0.41618,0.86113,0.0019315,0.0019315,0.0019315
165,12220.5,0.67446,0.4209,0.86316,0.9124,0.83265,0.90556,0.69104,0.69581,0.41601,0.86094,0.001882,0.001882,0.001882
166,12294.3,0.67224,0.42272,0.86334,0.91359,0.83667,0.90612,0.69101,0.6955,0.4159,0.8607,0.0018325,0.0018325,0.0018325
167,12368.2,0.67348,0.4233,0.86442,0.90937,0.83376,0.90633,0.6906,0.69551,0.41575,0.86054,0.001783,0.001783,0.001783
168,12441.9,0.66609,0.41762,0.8636,0.90722,0.83837,0.90659,0.69033,0.69539,0.41593,0.86043,0.0017335,0.0017335,0.0017335
169,12515.5,0.66179,0.41651,0.86226,0.90667,0.83864,0.90644,0.6903,0.69498,0.41594,0.86041,0.001684,0.001684,0.001684
170,12589.3,0.66174,0.41515,0.86016,0.90727,0.84167,0.90768,0.68977,0.69502,0.41584,0.86039,0.0016345,0.0016345,0.0016345
171,12663.1,0.66476,0.41684,0.86158,0.90753,0.84202,0.90766,0.69011,0.69488,0.41552,0.86027,0.001585,0.001585,0.001585
172,12736.7,0.66516,0.41815,0.86221,0.90743,0.8421,0.90791,0.69176,0.69489,0.41528,0.86031,0.0015355,0.0015355,0.0015355
173,12810.5,0.65611,0.41276,0.86098,0.90906,0.84366,0.90797,0.69184,0.69458,0.41514,0.86021,0.001486,0.001486,0.001486
174,12884.3,0.65672,0.41188,0.85892,0.90838,0.84406,0.90823,0.69227,0.69471,0.41481,0.86025,0.0014365,0.0014365,0.0014365
175,12957.9,0.65882,0.41243,0.85963,0.90804,0.84298,0.90843,0.69195,0.69447,0.41473,0.86013,0.001387,0.001387,0.001387
176,13031.7,0.65889,0.4147,0.86106,0.90803,0.84259,0.90853,0.69147,0.69431,0.41475,0.86012,0.0013375,0.0013375,0.0013375
177,13105.5,0.6494,0.40614,0.85675,0.90871,0.84285,0.90912,0.69259,0.69393,0.41464,0.86,0.001288,0.001288,0.001288
178,13179.3,0.65299,0.40933,0.85883,0.90888,0.84211,0.90885,0.69334,0.6936,0.41453,0.85987,0.0012385,0.0012385,0.0012385
179,13253.2,0.64604,0.40584,0.85838,0.90877,0.84076,0.90921,0.69308,0.69346,0.41471,0.85976,0.001189,0.001189,0.001189
180,13327.2,0.65008,0.40779,0.85947,0.90862,0.83802,0.90913,0.6933,0.69358,0.41475,0.85974,0.0011395,0.0011395,0.0011395
181,13400.9,0.64352,0.40278,0.858,0.91009,0.83716,0.90904,0.69367,0.69323,0.4145,0.85963,0.00109,0.00109,0.00109
182,13475.1,0.64122,0.4073,0.85332,0.9091,0.85078,0.91074,0.6933,0.6932,0.41452,0.85953,0.0010405,0.0010405,0.0010405
183,13549,0.64405,0.40456,0.8571,0.90892,0.85135,0.91088,0.69336,0.69303,0.41444,0.85944,0.000991,0.000991,0.000991
184,13622.4,0.63783,0.40245,0.85405,0.90914,0.85148,0.91115,0.6931,0.6928,0.41429,0.85935,0.0009415,0.0009415,0.0009415
